USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 225696  9500 ?        Ss   11月04   0:08 /sbin/init splash
root      1683  0.0  0.0 297004  6936 ?        Ssl  11月04   0:00 /usr/lib/x86_64-linux-gnu/boltd
root      1684  0.0  0.0 373832 13780 ?        Ssl  11月04   0:00 /usr/lib/packagekit/packagekitd
gdm       1685  0.0  0.0 494784 22104 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm       1691  0.0  0.0 278324  5900 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm       1697  0.0  0.0 343828 20220 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm       1698  0.0  0.0 511644 22152 tty1     Sl+  11月04   0:13 /usr/lib/gnome-settings-daemon/gsd-color
gdm       1701  0.0  0.0 393712 13572 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm       1704  0.0  0.0 283744  5508 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
gdm       1705  0.0  0.0 506684 21444 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm       1707  0.0  0.0 866952 23480 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm       1717  0.0  0.0 202000  4636 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm       1719  0.0  0.0 517448 22712 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-power
gdm       1722  0.0  0.0 267008  8572 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm       1725  0.0  0.0 202020  4512 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm       1726  0.0  0.0 275736  5044 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm       1729  0.0  0.0 305276  8472 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm       1736  0.0  0.0 378108  7948 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm       1742  0.0  0.0 333024  8108 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-sound
gdm       1745  0.0  0.0 428912 21720 tty1     Sl+  11月04   0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
colord    1764  0.0  0.0 325152 13944 ?        Ssl  11月04   0:00 /usr/lib/colord/colord
gdm       1779  0.0  0.0 205052  6792 tty1     Sl   11月04   0:00 /usr/lib/ibus/ibus-engine-simple
zuofy     1803  0.0  0.0  76776  7856 ?        Ss   11月04   0:00 /lib/systemd/systemd --user
zuofy     1804  0.0  0.0 114080  2632 ?        S    11月04   0:00 (sd-pam)
root      1845  0.0  0.0      0     0 ?        I    16:58   0:00 [kworker/7:0]
root      2126  0.0  0.0      0     0 ?        I    11月04   0:00 [kworker/u32:1]
root      2145  0.0  0.0 114456 10552 ?        Sl   11月04   0:07 /root/nps/npc -server=67.209.190.83:8024 -vkey=zuofy
linxp     2339  0.0  0.0  76772  7996 ?        Ss   11月04   0:00 /lib/systemd/systemd --user
linxp     2340  0.0  0.0 261544  2676 ?        S    11月04   0:00 (sd-pam)
linxp     2450  0.0  0.0   4636   780 ?        S    11月04   0:00 sh /home/linxp/.vscode-remote/bin/daf71423252a707b8e396e8afa8102b717f8213b/server.sh --port=0
linxp     2457  0.2  0.0 1294932 60724 ?       Sl   11月04   3:10 /home/linxp/.vscode-remote/bin/daf71423252a707b8e396e8afa8102b717f8213b/node /home/linxp/.vscode-remote/bin/daf71423252a707b8e396e8afa8102b717f8213b/out/remoteExtensionHostAgent.js --port=0
linxp     2572  0.0  0.0 1183372 37312 ?       Sl   11月04   0:01 /cold-data/home/linxp/.vscode-remote/bin/daf71423252a707b8e396e8afa8102b717f8213b/node /cold-data/home/linxp/.vscode-remote/bin/daf71423252a707b8e396e8afa8102b717f8213b/out/bootstrap-fork --type=watcherService
root      2801  0.0  0.0 110076  7304 ?        Ss   11月04   0:00 sshd: linxp [priv]
linxp     2866  0.0  0.0 110536  6148 ?        S    11月04   0:35 sshd: linxp
linxp     2867  0.1  0.0 1417884 61456 ?       Sl   11月04   2:02 /cold-data/home/linxp/.vscode-remote/bin/daf71423252a707b8e396e8afa8102b717f8213b/node /cold-data/home/linxp/.vscode-remote/bin/daf71423252a707b8e396e8afa8102b717f8213b/out/bootstrap-fork --type=extensionHost
linxp     2877  0.0  0.0 1183072 37552 ?       Sl   11月04   0:03 /cold-data/home/linxp/.vscode-remote/bin/daf71423252a707b8e396e8afa8102b717f8213b/node /cold-data/home/linxp/.vscode-remote/bin/daf71423252a707b8e396e8afa8102b717f8213b/out/bootstrap-fork --type=watcherService
linxp     2905  0.0  0.0  30092  5884 pts/3    Ss   11月04   0:00 /bin/bash
